Flight Number,Date,Time (UTC),Booster Version,Launch Site,Payload,Payload Mass (kg),Orbit,Customer,Mission Outcome,Landing Outcome
1,6/4/2010,18:45:00,F9 v1.0  B0003,CCAFS LC-40,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,Success,Failure   (parachute)
2,12/8/2010,15:43:00,F9 v1.0  B0004,CCAFS LC-40,"Dragon demo flight C1, two CubeSats,  barrel of Brouère cheese",,LEO (ISS),NASA (COTS) NRO,Success,Failure   (parachute)
3,5/22/2012,7:44:00,F9 v1.0  B0005,CCAFS LC-40,Dragon demo flight C2+,525 ,LEO (ISS),NASA (COTS),Success,No attempt
4,10/8/2012,0:35:00,F9 v1.0  B0006,CCAFS LC-40,SpaceX CRS-1,500 ,LEO (ISS),NASA (CRS),Success,No attempt
5,3/1/2013,15:10:00,F9 v1.0  B0007,CCAFS LC-40,SpaceX CRS-2,677 ,LEO (ISS),NASA (CRS),Success,No attempt
6,9/29/2013,16:00:00,F9 v1.1  B1003,VAFB SLC-4E,CASSIOPE,500 ,Polar LEO,MDA,Success,Uncontrolled (ocean)
7,12/3/2013,22:41:00,F9 v1.1,CCAFS LC-40,SES-8,"3,170 ",GTO,SES,Success,No attempt
8,1/6/2014,22:06:00,F9 v1.1,CCAFS LC-40,Thaicom 6,"3,325 ",GTO,Thaicom,Success,No attempt
9,4/18/2014,19:25:00,F9 v1.1,CCAFS LC-40,SpaceX CRS-3,"2,296 ",LEO (ISS),NASA (CRS),Success,Controlled (ocean)
10,7/14/2014,15:15:00,F9 v1.1,CCAFS LC-40,OG2 Mission 1  6 Orbcomm-OG2 satellites,"1,316 ",LEO,Orbcomm,Success,Controlled (ocean)
11,8/5/2014,8:00:00,F9 v1.1,CCAFS LC-40,AsiaSat 8,"4,535 ",GTO,AsiaSat,Success,No attempt
12,9/7/2014,5:00:00,F9 v1.1 B1011,CCAFS LC-40,AsiaSat 6,"4,428 ",GTO,AsiaSat,Success,No attempt
13,9/21/2014,5:52:00,F9 v1.1 B1010,CCAFS LC-40,SpaceX CRS-4,"2,216 ",LEO (ISS),NASA (CRS),Success,Uncontrolled (ocean)
14,1/10/2015,9:47:00,F9 v1.1 B1012,CCAFS LC-40,SpaceX CRS-5,"2,395 ",LEO (ISS),NASA (CRS),Success,Failure  (drone ship)
15,2/11/2015,23:03:00,F9 v1.1 B1013,CCAFS LC-40,DSCOVR,570 ,Sun–Earth L1,U.S. Air Force NASA NOAA,Success,Controlled (ocean)
16,3/2/2015,3:50:00,F9 v1.1 B1014,CCAFS LC-40,ABS-3A Eutelsat 115 West B,"4,159 ",GTO,ABS Eutelsat,Success,No attempt
17,4/14/2015,20:10:00,F9 v1.1 B1015,CCAFS LC-40,SpaceX CRS-6,"1,898 ",LEO (ISS),NASA (CRS),Success,Failure  (drone ship)
18,4/27/2015,23:03:00,F9 v1.1 B1016,CCAFS LC-40,TürkmenÄlem 52°E / MonacoSAT,"4,707 ",GTO,Turkmenistan National Space Agency,Success,No attempt
19,6/28/2015,14:21:00,F9 v1.1 B1018,CCAFS LC-40,SpaceX CRS-7,"1,952 ",LEO (ISS),NASA (CRS),Failure  (in flight),Precluded  (drone ship)
20,12/22/2015,1:29:00,F9 FT B1019,CCAFS LC-40,OG2 Mission 2   11 Orbcomm-OG2 satellites,"2,034 ",LEO,Orbcomm,Success,Success  (ground pad)
21,1/17/2016,18:42:00,F9 v1.1 B1017,VAFB SLC-4E,Jason-3,553 ,LEO,NASA (LSP) NOAA CNES,Success,Failure (drone ship)
22,3/4/2016,23:35:00,F9 FT B1020,CCAFS LC-40,SES-9,"5,271 ",GTO,SES,Success,Failure (drone ship)
23,4/8/2016,20:43:00,F9 FT B1021.1,CCAFS LC-40,SpaceX CRS-8,"3,136 ",LEO (ISS),NASA (CRS),Success,Success  (drone ship)
24,5/6/2016,5:21:00,F9 FT B1022,CCAFS LC-40,JCSAT-14,"4,696 ",GTO,SKY Perfect JSAT Group,Success,Success (drone ship)
25,5/27/2016,21:39:00,F9 FT B1023.1,CCAFS LC-40,Thaicom 8,"3,100 ",GTO,Thaicom,Success,Success  (drone ship)
26,6/15/2016,14:29:00,F9 FT B1024,CCAFS LC-40,ABS-2A Eutelsat 117 West B,"3,600 ",GTO,ABS Eutelsat,Success,Failure  (drone ship)
27,7/18/2016,4:45:00,F9 FT B1025.1,CCAFS LC-40,SpaceX CRS-9,"2,257 ",LEO (ISS),NASA (CRS),Success,Success (ground pad)
28,8/14/2016,5:26:00,F9 FT B1026,CCAFS LC-40,JCSAT-16,"4,600 ",GTO,SKY Perfect JSAT Group,Success,Success (drone ship)
29,1/14/2017,17:54:00,F9 FT B1029.1,VAFB SLC-4E,Iridium NEXT 1,"9,600 ",Polar LEO,Iridium Communications,Success,Success  (drone ship)
30,2/19/2017,14:39:00,F9 FT B1031.1,KSC LC-39A,SpaceX CRS-10,"2,490 ",LEO (ISS),NASA (CRS),Success,Success (ground pad)
31,3/16/2017,6:00:00,F9 FT B1030,KSC LC-39A,EchoStar 23,"5,600 ",GTO,EchoStar,Success,No attempt
32,3/30/2017,22:27:00,F9 FT  B1021.2,KSC LC-39A,SES-10,"5,300 ",GTO,SES,Success,Success (drone ship)
33,5/1/2017,11:15:00,F9 FT B1032.1,KSC LC-39A,NROL-76,Classified,LEO,NRO,Success,Success (ground pad)
34,5/15/2017,23:21:00,F9 FT B1034,KSC LC-39A,Inmarsat-5 F4,"6,070 ",GTO,Inmarsat,Success,No attempt
35,6/3/2017,21:07:00,F9 FT B1035.1,KSC LC-39A,SpaceX CRS-11,"2,708 ",LEO (ISS),NASA (CRS),Success,Success (ground pad)
36,6/23/2017,19:10:00,F9 FT  B1029.2,KSC LC-39A,BulgariaSat-1,"3,669 ",GTO,Bulsatcom,Success,Success (drone ship)
37,6/25/2017,20:25:00,F9 FT B1036.1,VAFB SLC-4E,Iridium NEXT 2,"9,600 ",LEO,Iridium Communications,Success,Success (drone ship)
38,7/5/2017,23:38:00,F9 FT B1037,KSC LC-39A,Intelsat 35e,"6,761 ",GTO,Intelsat,Success,No attempt
39,8/14/2017,16:31:00,F9 B4 B1039.1,KSC LC-39A,SpaceX CRS-12,"3,310 ",LEO (ISS),NASA (CRS),Success,Success (ground pad)
40,8/24/2017,18:51:00,F9 FT B1038.1,VAFB SLC-4E,Formosat-5,475 ,SSO,NSPO,Success,Success (drone ship)
41,9/7/2017,14:00:00,F9 B4 B1040.1,KSC LC-39A,Boeing X-37B OTV-5,"4,990 ",LEO,U.S. Air Force,Success,Success (ground pad)
42,10/9/2017,12:37:00,F9 B4 B1041.1,VAFB SLC-4E,Iridium NEXT 3,"9,600 ",Polar LEO,Iridium Communications,Success,Success (drone ship)
43,10/11/2017,22:53:00,F9 FT  B1031.2,KSC LC-39A,SES-11 / EchoStar 105,"5,200 ",GTO,SES EchoStar,Success,Success (drone ship)
44,10/30/2017,19:34:00,F9 B4 B1042.1,KSC LC-39A,Koreasat 5A,"3,500 ",GTO,KT Corporation,Success,Success (drone ship)
45,12/15/2017,15:36:00,F9 FT  B1035.2,CCAFS SLC-40,SpaceX CRS-13,"2,205 ",LEO (ISS),NASA (CRS),Success,Success (ground pad)
46,12/23/2017,1:27:00,F9 FT  B1036.2,VAFB SLC-4E,Iridium NEXT 4,"9,600 ",Polar LEO,Iridium Communications,Success,Controlled (ocean)
47,1/8/2018,1:00:00,F9 B4 B1043.1,CCAFS SLC-40,Zuma,Classified,LEO,Northrop Grumman,Success  (payload status unclear),Success (ground pad)
48,1/31/2018,21:25:00,F9 FT  B1032.2,CCAFS SLC-40,GovSat-1 / SES-16,"4,230 ",GTO,SES,Success,Controlled (ocean)
FH 1,2/6/2018,20:45:00,"B1023.2  (side) , Heavy core B1033, B1025.2 (side) ",KSC LC-39A,Elon Musk's Tesla Roadster,"~1,250 ",Heliocentric 0.99–1.67 AU  (close to Mars transfer orbit),SpaceX,Success,"Success (ground pad), Failure (drone ship), Success (ground pad)"
49,2/22/2018,14:17:00,F9 FT  B1038.2,VAFB SLC-4E,Paz  Tintin A & B,"2,150 ",SSO,Hisdesat exactEarth SpaceX,Success,No attempt
50,3/6/2018,5:33:00,F9 B4 B1044,CCAFS SLC-40,Hispasat 30W-6  PODSat,"6,092 ",GTO,Hispasat  NovaWurks,Success,No attempt
51,3/30/2018,14:14:00,F9 B4  B1041.2,VAFB SLC-4E,Iridium NEXT 5,"9,600 ",Polar LEO,Iridium Communications,Success,No attempt
52,4/2/2018,20:30:00,F9 B4  B1039.2,CCAFS SLC-40,SpaceX CRS-14,"2,647 ",LEO (ISS),NASA (CRS),Success,No attempt
53,4/18/2018,22:51:00,F9 B4 B1045.1,CCAFS SLC-40,Transiting Exoplanet Survey Satellite (TESS),362 ,HEO,NASA (LSP),Success,Success (drone ship)
54,5/11/2018,20:14:00,F9 B5  B1046.1,KSC LC-39A,Bangabandhu-1,"3,600 ",GTO,Thales-Alenia/BTRC,Success,Success (drone ship)
55,5/22/2018,19:47:58,F9 B4  B1043.2,VAFB SLC-4E,"Iridium NEXT 6   GRACE-FO 1, 2","6,460 ",Polar LEO,Iridium Communications GFZ • NASA,Success,No attempt
56,6/4/2018,4:45:00,F9 B4  B1040.2,CCAFS SLC-40,SES-12,"5,384 ",GTO,SES,Success,No attempt
